ID,Industry_Name,City,Rank
1,Alternative Dispute Resolution,Deering,288
2,Alternative Dispute Resolution,Hogatza,287
3,Alternative Dispute Resolution,Shishmaref,286
4,Alternative Dispute Resolution,Elephant Point,285
5,Alternative Dispute Resolution,Beaver,284
6,Alternative Dispute Resolution,Alatna,283
7,Alternative Dispute Resolution,Fort Yukon,282
8,Alternative Dispute Resolution,Allakaket,281
9,Alternative Dispute Resolution,Espenberg,280
10,Alternative Dispute Resolution,Selawik,279
11,Alternative Dispute Resolution,Venetie Landing,278
12,Alternative Dispute Resolution,Chalkyitsik,277
13,Alternative Dispute Resolution,Alexanders Village,276
14,Alternative Dispute Resolution,Noorvik,275
15,Alternative Dispute Resolution,Shungnak,274
16,Alternative Dispute Resolution,Kotzebue,273
17,Alternative Dispute Resolution,Kalla,272
18,Alternative Dispute Resolution,Kobuk,271
19,Alternative Dispute Resolution,Bettles,270
20,Alternative Dispute Resolution,Evansville,269
21,Alternative Dispute Resolution,Kiana,268
22,Alternative Dispute Resolution,Sheshalik,267
23,Alternative Dispute Resolution,Venetie,266
24,Alternative Dispute Resolution,Bornite,265
25,Alternative Dispute Resolution,Ambler,264
26,Alternative Dispute Resolution,Old Rampart,263
27,Alternative Dispute Resolution,Caro,262
28,Alternative Dispute Resolution,Klery Creek,261
29,Alternative Dispute Resolution,Coldfoot,260
30,Alternative Dispute Resolution,Christian,259
31,Alternative Dispute Resolution,Wiseman,258
32,Alternative Dispute Resolution,Nolan,257
33,Alternative Dispute Resolution,Chandalar,256
34,Alternative Dispute Resolution,Noatak,255
35,Alternative Dispute Resolution,Kivalina,254
36,Alternative Dispute Resolution,Red Dog Mine,253
37,Alternative Dispute Resolution,Chariot,252
38,Alternative Dispute Resolution,Arctic Village,251
39,Alternative Dispute Resolution,Anaktuvuk Pass,250
40,Alternative Dispute Resolution,Point Hope,249
41,Alternative Dispute Resolution,Wevok,248
42,Alternative Dispute Resolution,Umiat,247
43,Alternative Dispute Resolution,Sagwon,246
44,Alternative Dispute Resolution,Gordon,245
45,Alternative Dispute Resolution,Point Lay,244
46,Alternative Dispute Resolution,Kaktovik,243
47,Alternative Dispute Resolution,Deadhorse,242
48,Alternative Dispute Resolution,Nuiqsut,241
49,Alternative Dispute Resolution,Prudhoe Bay,240
50,Alternative Dispute Resolution,Alpine,239
51,Alternative Dispute Resolution,Atqasuk,238
52,Alternative Dispute Resolution,Wainwright,237
53,Alternative Dispute Resolution,Kokruagarok,236
54,Alternative Dispute Resolution,Browerville,235
55,Alternative Dispute Resolution,Avenel,234
56,Alternative Dispute Resolution,Oakdale,233
57,Alternative Dispute Resolution,Marshfield,232
58,Alternative Dispute Resolution,Snellville,231
59,Alternative Dispute Resolution,Tullahoma,230
60,Alternative Dispute Resolution,Dover,229
61,Alternative Dispute Resolution,Franklin Park,228
62,Alternative Dispute Resolution,Seymour,227
63,Alternative Dispute Resolution,Papillion,226
64,Alternative Dispute Resolution,Easley,225
65,Alternative Dispute Resolution,Ipswich,224
66,Alternative Dispute Resolution,Groton,223
67,Alternative Dispute Resolution,Riverbank,222
68,Alternative Dispute Resolution,Wayne,221
69,Alternative Dispute Resolution,Woodbridge,220
70,Alternative Dispute Resolution,Redmond,219
71,Alternative Dispute Resolution,New Castle,218
72,Alternative Dispute Resolution,Fairmont,217
73,Alternative Dispute Resolution,Mira Loma,216
74,Alternative Dispute Resolution,Shenandoah,215
75,Alternative Dispute Resolution,Wake Forest,214
76,Alternative Dispute Resolution,Angleton,213
77,Alternative Dispute Resolution,Morristown,212
78,Alternative Dispute Resolution,Jasmine Estates,211
79,Alternative Dispute Resolution,Ottawa,210
80,Alternative Dispute Resolution,Northfield,209
81,Alternative Dispute Resolution,Woodstock,208
82,Alternative Dispute Resolution,North Massapequa,207
83,Alternative Dispute Resolution,Brookfield,206
84,Alternative Dispute Resolution,Somerset,205
85,Alternative Dispute Resolution,Bixby,204
86,Alternative Dispute Resolution,Sebastian,203
87,Alternative Dispute Resolution,Farmington,202
88,Alternative Dispute Resolution,Ansonia,201
89,Alternative Dispute Resolution,Elmwood Park,200
90,Alternative Dispute Resolution,Birmingham,199
91,Alternative Dispute Resolution,Selma,198
92,Alternative Dispute Resolution,Baldwin,197
93,Alternative Dispute Resolution,Desert Hot Springs,196
94,Alternative Dispute Resolution,Mineola,195
95,Alternative Dispute Resolution,Wantagh,194
96,Alternative Dispute Resolution,Webster,193
97,Alternative Dispute Resolution,North Augusta,192
98,Alternative Dispute Resolution,Southbridge,191
99,Alternative Dispute Resolution,Pleasantville,190
100,Alternative Dispute Resolution,Harker Heights,189
101,Alternative Dispute Resolution,Camp Springs,188
102,Alternative Dispute Resolution,West Hempstead,187
103,Alternative Dispute Resolution,Logansport,186
104,Alternative Dispute Resolution,Maple Shade,185
105,Alternative Dispute Resolution,Homewood,184
106,Alternative Dispute Resolution,Portsmouth,183
107,Alternative Dispute Resolution,Madison,182
108,Alternative Dispute Resolution,Sylvania,181
109,Alternative Dispute Resolution,Clarksdale,180
110,Alternative Dispute Resolution,Belvedere Park,179
111,Alternative Dispute Resolution,San Carlos Park,178
112,Alternative Dispute Resolution,Glassboro,177
113,Alternative Dispute Resolution,Salmon Creek,176
114,Alternative Dispute Resolution,West Saint Paul,175
115,Alternative Dispute Resolution,Klamath Falls,174
116,Alternative Dispute Resolution,Mokena,173
117,Alternative Dispute Resolution,Lorton,172
118,Alternative Dispute Resolution,Plattsburgh,171
119,Alternative Dispute Resolution,Macomb,170
120,Airlines/Aviation,Deering,169
121,Airlines/Aviation,Hogatza,168
122,Airlines/Aviation,Shishmaref,167
123,Airlines/Aviation,Elephant Point,166
124,Airlines/Aviation,Beaver,165
125,Airlines/Aviation,Alatna,164
126,Airlines/Aviation,Fort Yukon,163
127,Airlines/Aviation,Allakaket,162
128,Airlines/Aviation,Espenberg,161
129,Airlines/Aviation,Selawik,160
130,Airlines/Aviation,Venetie Landing,159
131,Airlines/Aviation,Chalkyitsik,158
132,Airlines/Aviation,Alexanders Village,157
133,Airlines/Aviation,Noorvik,156
134,Airlines/Aviation,Shungnak,155
135,Airlines/Aviation,Kotzebue,154
136,Airlines/Aviation,Kalla,153
137,Airlines/Aviation,Kobuk,152
138,Airlines/Aviation,Bettles,151
139,Airlines/Aviation,Evansville,150
140,Airlines/Aviation,Kiana,149
141,Airlines/Aviation,Sheshalik,148
142,Airlines/Aviation,Venetie,147
143,Airlines/Aviation,Bornite,146
144,Airlines/Aviation,Ambler,145
145,Airlines/Aviation,Old Rampart,144
146,Airlines/Aviation,Caro,143
147,Airlines/Aviation,Klery Creek,142
148,Airlines/Aviation,Coldfoot,141
149,Airlines/Aviation,Christian,140
150,Airlines/Aviation,Wiseman,139
151,Airlines/Aviation,Nolan,138
152,Airlines/Aviation,Chandalar,137
153,Airlines/Aviation,Noatak,136
154,Airlines/Aviation,Kivalina,135
155,Airlines/Aviation,Red Dog Mine,134
156,Airlines/Aviation,Chariot,133
157,Airlines/Aviation,Arctic Village,132
158,Airlines/Aviation,Anaktuvuk Pass,131
159,Airlines/Aviation,Point Hope,130
160,Airlines/Aviation,Wevok,129
161,Airlines/Aviation,Umiat,128
162,Airlines/Aviation,Sagwon,127
163,Airlines/Aviation,Gordon,126
164,Airlines/Aviation,Point Lay,125
165,Airlines/Aviation,Kaktovik,124
166,Airlines/Aviation,Deadhorse,123
167,Airlines/Aviation,Nuiqsut,122
168,Airlines/Aviation,Prudhoe Bay,121
169,Accounting,Deering,120
170,Airlines/Aviation,Alpine,120
171,Accounting,Hogatza,119
172,Airlines/Aviation,Atqasuk,119
173,Alternative Medicine,Macomb,119
174,Animation,Macomb,119
175,Apparel amp; Fashion,Macomb,119
176,Architecture amp; Planning,Macomb,119
177,Arts and Crafts,Macomb,119
178,Automotive,Macomb,119
179,Aviation amp; Aerospace,Macomb,119
180,Banking,Macomb,119
181,Biotechnology,Macomb,119
182,Broadcast Media,Macomb,119
183,Building Materials,Macomb,119
184,Business Supplies and Equipment,Macomb,119
185,Capital Markets,Macomb,119
186,Chemicals,Macomb,119
187,Civic amp; Social Organization,Macomb,119
188,Civil Engineering,Macomb,119
189,Commercial Real Estate,Macomb,119
190,Computer amp; Network Security,Macomb,119
191,Computer Games,Macomb,119
192,Computer Hardware,Macomb,119
193,Computer Networking,Macomb,119
194,Computer Software,Macomb,119
195,Construction,Macomb,119
196,Consumer Electronics,Macomb,119
197,Consumer Goods,Macomb,119
198,Consumer Services,Macomb,119
199,Cosmetics,Macomb,119
200,Dairy,Macomb,119
201,Defense amp; Space,Macomb,119
202,Design,Macomb,119
203,Education Management,Macomb,119
204,E-Learning,Macomb,119
205,Electrical/Electronic Manufacturing,Macomb,119
206,Entertainment,Macomb,119
207,Environmental Services,Macomb,119
208,Events Services,Macomb,119
209,Executive Office,Macomb,119
210,Facilities Services,Macomb,119
211,Farming,Macomb,119
212,Financial Services,Macomb,119
213,Fine Art,Macomb,119
214,Fishery,Macomb,119
215,Food amp; Beverages,Macomb,119
216,Food Production,Macomb,119
217,Fund-Raising,Macomb,119
218,Furniture,Macomb,119
219,Gambling amp; Casinos,Macomb,119
220,Glass,Macomb,119
221,Government Administration,Macomb,119
222,Government Relations,Macomb,119
223,Graphic Design,Macomb,119
224,Health,Macomb,119
225,Higher Education,Macomb,119
226,Hospital amp; Health Care,Macomb,119
227,Hospitality,Macomb,119
228,Human Resources,Macomb,119
229,Import and Export,Macomb,119
230,Individual amp; Family Services,Macomb,119
231,Industrial Automation,Macomb,119
232,Information Services,Macomb,119
233,Information Technology and Services,Macomb,119
234,Insurance,Macomb,119
235,International Affairs,Macomb,119
236,International Trade and Development,Macomb,119
237,Internet,Macomb,119
238,Investment Banking,Macomb,119
239,Investment Management,Macomb,119
240,Judiciary,Macomb,119
241,Law Enforcement,Macomb,119
242,Law Practice,Macomb,119
243,Legal Services,Macomb,119
244,Legislative Office,Macomb,119
245,Leisure,Macomb,119
246,Libraries,Macomb,119
247,Logistics and Supply Chain,Macomb,119
248,Luxury Goods amp; Jewelry,Macomb,119
249,Machinery,Macomb,119
250,Management Consulting,Macomb,119
251,Maritime,Macomb,119
252,Market Research,Macomb,119
253,Marketing and Advertising,Macomb,119
254,Mechanical or Industrial Engineering,Macomb,119
255,Media Production,Macomb,119
256,Medical Devices,Macomb,119
257,Medical Practice,Macomb,119
258,Mental Health Care,Macomb,119
259,Military,Macomb,119
260,Mining amp; Metals,Macomb,119
261,Motion Pictures and Film,Macomb,119
262,Museums and Institutions,Macomb,119
263,Music,Macomb,119
264,Nanotechnology,Macomb,119
265,Newspapers,Macomb,119
266,Nonprofit Organization Management,Macomb,119
267,Oil amp; Energy,Macomb,119
268,Online Media,Macomb,119
269,Outsourcing/Offshoring,Macomb,119
270,Package/Freight Delivery,Macomb,119
271,Packaging and Containers,Macomb,119
272,Paper amp; Forest Products,Macomb,119
273,Performing Arts,Macomb,119
274,Pharmaceuticals,Macomb,119
275,Philanthropy,Macomb,119
276,Photography,Macomb,119
277,Plastics,Macomb,119
278,Political Organization,Macomb,119
279,Primary/Secondary Education,Macomb,119
280,Printing,Macomb,119
281,Professional Training amp; Coaching,Macomb,119
282,Program Development,Macomb,119
283,Public Policy,Macomb,119
284,Public Relations and Communications,Macomb,119
285,Public Safety,Macomb,119
286,Publishing,Macomb,119
287,Railroad Manufacture,Macomb,119
288,Ranching,Macomb,119
289,Real Estate,Macomb,119
290,Recreational Facilities and Services,Macomb,119
291,Religious Institutions,Macomb,119
292,Renewables amp; Environment,Macomb,119
293,Research,Macomb,119
294,Restaurants,Macomb,119
295,Retail,Macomb,119
296,Security and Investigations,Macomb,119
297,Semiconductors,Macomb,119
298,Shipbuilding,Macomb,119
299,Sporting Goods,Macomb,119
300,Sports,Macomb,119
301,Staffing and Recruiting,Macomb,119
302,Supermarkets,Macomb,119
303,Telecommunications,Macomb,119
304,Textiles,Macomb,119
305,Think Tanks,Macomb,119
306,Tobacco,Macomb,119
307,Translation and Localization,Macomb,119
308,Transportation/Trucking/Railroad,Macomb,119
309,Utilities,Macomb,119
310,Venture Capital amp; Private Equity,Macomb,119
311,Veterinary,Macomb,119
312,Warehousing,Macomb,119
313,Wholesale,Macomb,119
314,Wine and Spirits,Macomb,119
315,Wireless,Macomb,119
316,Writing and Editing,Macomb,119
317,Accounting,Shishmaref,118
318,Airlines/Aviation,Wainwright,118
319,Alternative Medicine,Plattsburgh,118
320,Animation,Plattsburgh,118
321,Apparel amp; Fashion,Plattsburgh,118
322,Architecture amp; Planning,Plattsburgh,118
323,Arts and Crafts,Plattsburgh,118
324,Automotive,Plattsburgh,118
325,Aviation amp; Aerospace,Plattsburgh,118
326,Banking,Plattsburgh,118
327,Biotechnology,Plattsburgh,118
328,Broadcast Media,Plattsburgh,118
329,Building Materials,Plattsburgh,118
330,Business Supplies and Equipment,Plattsburgh,118
331,Capital Markets,Plattsburgh,118
332,Chemicals,Plattsburgh,118
333,Civic amp; Social Organization,Plattsburgh,118
334,Civil Engineering,Plattsburgh,118
335,Commercial Real Estate,Plattsburgh,118
336,Computer amp; Network Security,Plattsburgh,118
337,Computer Games,Plattsburgh,118
338,Computer Hardware,Plattsburgh,118
339,Computer Networking,Plattsburgh,118
340,Computer Software,Plattsburgh,118
341,Construction,Plattsburgh,118
342,Consumer Electronics,Plattsburgh,118
343,Consumer Goods,Plattsburgh,118
344,Consumer Services,Plattsburgh,118
345,Cosmetics,Plattsburgh,118
346,Dairy,Plattsburgh,118
347,Defense amp; Space,Plattsburgh,118
348,Design,Plattsburgh,118
349,Education Management,Plattsburgh,118
350,E-Learning,Plattsburgh,118
351,Electrical/Electronic Manufacturing,Plattsburgh,118
352,Entertainment,Plattsburgh,118
353,Environmental Services,Plattsburgh,118
354,Events Services,Plattsburgh,118
355,Executive Office,Plattsburgh,118
356,Facilities Services,Plattsburgh,118
357,Farming,Plattsburgh,118
358,Financial Services,Plattsburgh,118
359,Fine Art,Plattsburgh,118
360,Fishery,Plattsburgh,118
361,Food amp; Beverages,Plattsburgh,118
362,Food Production,Plattsburgh,118
363,Fund-Raising,Plattsburgh,118
364,Furniture,Plattsburgh,118
365,Gambling amp; Casinos,Plattsburgh,118
366,Glass,Plattsburgh,118
367,Government Administration,Plattsburgh,118
368,Government Relations,Plattsburgh,118
369,Graphic Design,Plattsburgh,118
370,Health,Plattsburgh,118
371,Higher Education,Plattsburgh,118
372,Hospital amp; Health Care,Plattsburgh,118
373,Hospitality,Plattsburgh,118
374,Human Resources,Plattsburgh,118
375,Import and Export,Plattsburgh,118
376,Individual amp; Family Services,Plattsburgh,118
377,Industrial Automation,Plattsburgh,118
378,Information Services,Plattsburgh,118
379,Information Technology and Services,Plattsburgh,118
380,Insurance,Plattsburgh,118
381,International Affairs,Plattsburgh,118
382,International Trade and Development,Plattsburgh,118
383,Internet,Plattsburgh,118
384,Investment Banking,Plattsburgh,118
385,Investment Management,Plattsburgh,118
386,Judiciary,Plattsburgh,118
387,Law Enforcement,Plattsburgh,118
388,Law Practice,Plattsburgh,118
389,Legal Services,Plattsburgh,118
390,Legislative Office,Plattsburgh,118
391,Leisure,Plattsburgh,118
392,Libraries,Plattsburgh,118
393,Logistics and Supply Chain,Plattsburgh,118
394,Luxury Goods amp; Jewelry,Plattsburgh,118
395,Machinery,Plattsburgh,118
396,Management Consulting,Plattsburgh,118
397,Maritime,Plattsburgh,118
398,Market Research,Plattsburgh,118
399,Marketing and Advertising,Plattsburgh,118
400,Mechanical or Industrial Engineering,Plattsburgh,118
401,Media Production,Plattsburgh,118
402,Medical Devices,Plattsburgh,118
403,Medical Practice,Plattsburgh,118
404,Mental Health Care,Plattsburgh,118
405,Military,Plattsburgh,118
406,Mining amp; Metals,Plattsburgh,118
407,Motion Pictures and Film,Plattsburgh,118
408,Museums and Institutions,Plattsburgh,118
409,Music,Plattsburgh,118
410,Nanotechnology,Plattsburgh,118
411,Newspapers,Plattsburgh,118
412,Nonprofit Organization Management,Plattsburgh,118
413,Oil amp; Energy,Plattsburgh,118
414,Online Media,Plattsburgh,118
415,Outsourcing/Offshoring,Plattsburgh,118
416,Package/Freight Delivery,Plattsburgh,118
417,Packaging and Containers,Plattsburgh,118
418,Paper amp; Forest Products,Plattsburgh,118
419,Performing Arts,Plattsburgh,118
420,Pharmaceuticals,Plattsburgh,118
421,Philanthropy,Plattsburgh,118
422,Photography,Plattsburgh,118
423,Plastics,Plattsburgh,118
424,Political Organization,Plattsburgh,118
425,Primary/Secondary Education,Plattsburgh,118
426,Printing,Plattsburgh,118
427,Professional Training amp; Coaching,Plattsburgh,118
428,Program Development,Plattsburgh,118
429,Public Policy,Plattsburgh,118
430,Public Relations and Communications,Plattsburgh,118
431,Public Safety,Plattsburgh,118
432,Publishing,Plattsburgh,118
433,Railroad Manufacture,Plattsburgh,118
434,Ranching,Plattsburgh,118
435,Real Estate,Plattsburgh,118
436,Recreational Facilities and Services,Plattsburgh,118
437,Religious Institutions,Plattsburgh,118
438,Renewables amp; Environment,Plattsburgh,118
439,Research,Plattsburgh,118
440,Restaurants,Plattsburgh,118
441,Retail,Plattsburgh,118
442,Security and Investigations,Plattsburgh,118
443,Semiconductors,Plattsburgh,118
444,Shipbuilding,Plattsburgh,118
445,Sporting Goods,Plattsburgh,118
446,Sports,Plattsburgh,118
447,Staffing and Recruiting,Plattsburgh,118
448,Supermarkets,Plattsburgh,118
449,Telecommunications,Plattsburgh,118
450,Textiles,Plattsburgh,118
451,Think Tanks,Plattsburgh,118
452,Tobacco,Plattsburgh,118
453,Translation and Localization,Plattsburgh,118
454,Transportation/Trucking/Railroad,Plattsburgh,118
455,Utilities,Plattsburgh,118
456,Venture Capital amp; Private Equity,Plattsburgh,118
457,Veterinary,Plattsburgh,118
458,Warehousing,Plattsburgh,118
459,Wholesale,Plattsburgh,118
460,Wine and Spirits,Plattsburgh,118
461,Wireless,Plattsburgh,118
462,Writing and Editing,Plattsburgh,118
463,Accounting,Elephant Point,117
464,Airlines/Aviation,Kokruagarok,117
465,Alternative Medicine,Lorton,117
466,Animation,Lorton,117
467,Apparel amp; Fashion,Lorton,117
468,Architecture amp; Planning,Lorton,117
469,Arts and Crafts,Lorton,117
470,Automotive,Lorton,117
471,Aviation amp; Aerospace,Lorton,117
472,Banking,Lorton,117
473,Biotechnology,Lorton,117
474,Broadcast Media,Lorton,117
475,Building Materials,Lorton,117
476,Business Supplies and Equipment,Lorton,117
477,Capital Markets,Lorton,117
478,Chemicals,Lorton,117
479,Civic amp; Social Organization,Lorton,117
480,Civil Engineering,Lorton,117
481,Commercial Real Estate,Lorton,117
482,Computer amp; Network Security,Lorton,117
