ISO_Code,City,AccentCity,Reference_year,Total,Male,Female,Literacy_Rate
gei,geigers landing,Geigers Landing,2005,74,77,100,High
gol,golden gate,Golden Gate,2017,74,20,73,High
gor,gordon,Gordon,2003,74,67,64,High
gro,groveland,Groveland,2007,74,65,40,High
gul,gulf beach heights,Gulf Beach Heights,2010,74,95,50,High
hig,highland park,Highland Park,2007,74,80,88,High
ile,ilexhurst,Ilexhurst,2009,74,75,71,High
ker,kern,Kern,2015,74,83,84,High
lak,lake jackson,Lake Jackson,2009,74,23,50,High
lak,lakeland,Lakeland,2014,74,41,27,High
leo,leon hamilton place,Leon Hamilton Place,2011,74,73,32,High
mar,marineland,Marineland,2005,74,23,47,High
mia,miami beach,Miami Beach,2017,74,86,53,High
oak,oakland,Oakland,2016,74,82,70,High
ope,open sands,Open Sands,2002,74,62,49,High
pal,palm springs estates,Palm Springs Estates,2009,74,28,87,High
par,paradise palms,Paradise Palms,2005,74,35,46,High
per,perkins,Perkins,2014,74,22,77,High
pet,peterson,Peterson,2009,74,82,46,High
pow,powell,Powell,2008,74,84,63,High
san,san pablo,San Pablo,2005,74,89,83,High
sug,sugarton,Sugarton,2001,74,49,21,High
tat,tatum ridge,Tatum Ridge,2013,74,68,28,High
wad,wadesboro,Wadesboro,2004,74,86,93,High
abi,abide awhile,Abide Awhile,2007,74,32,65,High
abi,abilene,Abilene,2003,74,26,73,High
ada,adasburg,Adasburg,2010,74,71,95,High
alc,alcovy shores,Alcovy Shores,2011,74,46,88,High
ant,antebellum north,Antebellum North,2010,74,84,57,High
bev,beverly shores,Beverly Shores,2011,74,69,63,High
blu,blueberry hills,Blueberry Hills,2004,74,48,88,High
bra,braswell,Braswell,2015,74,82,67,High
bro,brookwood acres,Brookwood Acres,2008,74,38,96,High
cer,ceres,Ceres,2006,74,88,30,High
coo,coopers,Coopers,2006,74,32,48,High
cro,cross keys,Cross Keys,2010,74,56,74,High
ded,dedrich,Dedrich,2003,74,76,70,High
dee,deerwood park,Deerwood Park,2015,74,77,82,High
den,denmark,Denmark,2000,74,70,51,High
fer,ferrell crossroads,Ferrell Crossroads,2001,74,30,72,High
fit,fitzpatrick,Fitzpatrick,2001,74,51,36,High
fla,flat branch,Flat Branch,2017,74,74,22,High
fox,foxhall,Foxhall,2008,74,22,69,High
fro,frontier trail,Frontier Trail,2002,74,53,81,High
gar,gardi,Gardi,2006,74,96,84,High
