City,Ease_of_Transport_Rank,Transport_level
Houston,1,High
New York,2,High
Chicago,3,High
Los Angeles,4,High
St. Louis,5,High
Dallas,6,High
Cincinnati,7,High
Indianapolis,8,High
Phoenix,9,High
San Diego,10,High
Fort Worth,11,High
Wichita,12,High
Cleveland,13,High
Minneapolis,14,High
Atlanta,15,High
Milwaukee,16,High
San Antonio,17,High
San Jose,18,High
Louisville,19,High
Salt Lake City,20,High
Portland,21,High
Philadelphia,22,High
Columbus,23,High
Tulsa,24,High
Rochester,25,High
Austin,26,High
St. Paul,27,High
Oklahoma City,28,High
Denver,29,High
Kansas City,30,High
Charlotte,31,High
Grand Rapids,32,High
Memphis,33,High
Seattle,34,High
Miami,35,High
Jacksonville,36,High
Irvine,37,High
Redmond,38,High
Santa Clara,39,High
Baltimore,40,High
Pittsburgh,41,High
Orlando,42,High
Omaha,43,High
Birmingham,44,High
Detroit,45,High
Tucson,46,High
Huntsville,47,High
Richmond,48,High
Sunnyvale,49,High
Everett,50,High
Abanda,51,High
Abbeville,52,High
Abbot Springs,53,High
Abel,54,High
Abercrombie,55,High
Aberfoil,56,High
Abernant,57,High
Abernathy,58,High
Academy Park,59,High
Acipcoville,60,High
Ackerville,61,High
Acmar,62,High
Active,63,High
Acton,64,High
Ada,65,High
Adair Ford,66,High
Adams,67,High
Addison,68,High
Aden,69,High
Adger,70,High
Adkin Hill,71,High
Adler,72,High
Adville,73,High
Adamsburg,74,High
Adamsville,75,High
Adams Crossroads,76,High
Ai,77,High
Agricola,78,High
Aimwell,79,High
Airport Highlands,80,High
Akinsville,81,High
Akka,82,High
Akron,83,High
Alabama City,84,High
Alabama Fork,85,High
Alabama Port,86,High
Alabama Shores,87,High
Alabaster,88,High
Alaga,89,High
Alberta,90,High
Alberton,91,High
Albertville,92,High
Alden,93,High
Alder Springs,94,High
Aldrich,95,High
Aldridge,96,High
Aldridge Grove,97,High
Alexander City,98,High
Alexandria,99,High
Alexis,100,High
Alfalfa,101,High
Alice,102,High
Aliceville,103,High
Allens Crossroads,104,High
Allens Factory,105,High
Allenton,106,High
Allenville,107,High
Allenton Station,108,High
Allgood,109,High
Alliance,110,High
Allison,111,High
Allison Mills,112,High
Allred,113,High
Allsboro,114,High
Allsop,115,High
Alma,116,High
Almeria,117,High
Almond,118,High
Almont,119,High
Alpine,120,High
Alpine Bay,121,High
Alta,122,High
Alpine Shores,123,High
Alta Vista,124,High
Altadena Ridge Estates,125,High
Altadena Woods,126,High
Altamont Park,127,High
Alton,128,High
Altoona,129,High
America,130,High
Andalusia,131,High
Anderson,132,High
Angel,133,High
Andrews Chapel,134,High
Anita,135,High
Anne Manie,136,High
Anniston,137,High
Ansley,138,High
Antioch,139,High
Antioch Estates,140,High
Apple Grove,141,High
Appleton,142,High
Aqua Vista,143,High
Aquilla,144,High
Arab,145,High
Ararat,146,High
Archer,147,High
Arbacoochee,148,High
Arcola,149,High
Arcus,150,High
Ardell,151,High
Ardilla,152,High
Arguta,153,High
Ardmore,154,High
Argo,155,High
Ariton,156,High
Arkadelphia,157,High
Arkdell,158,High
Arkwright,159,High
Arley,160,High
Arley Landing,161,High
Arlington,162,High
Armstead,163,High
Armstrong,164,High
Arnedra Subdivision,165,High
Arona,166,High
Arrowhead,167,High
Asahel,168,High
Asberry,169,High
Asbury,170,High
Asbury Park,171,High
Ashbank,172,High
Ashby,173,High
Ashcraft Corner,174,High
Ashford,175,High
Ashland,176,High
Ashridge,177,High
Ashville,178,High
Askea Grove,179,High
Aspel,180,High
Athens,181,High
Atkeison,182,High
Atmore,183,High
Attalla,184,High
Atwood,185,High
Aubrey,186,High
Aubrey Isle,187,High
Auburn,188,High
Augustin,189,High
Aurora,190,High
Austin Subdivision,191,High
Austinville,192,High
Autaugaville,193,High
Ava,194,High
Avalon Park,195,High
Avant,196,High
Avery,197,High
Avon,198,High
Avon Park,199,High
Avondale,200,High
Avondale Village,201,High
Awin,202,High
Axis,203,High
Axle,204,High
Ayres,205,High
Ayres Estates,206,High
Babbie,207,High
Bachelors Chapel,208,High
Backems Crossroads,209,High
Backers Landing,210,High
Bacon Level,211,High
Bagley,212,High
Bagley Meadows,213,High
Bailey Cove Estates,214,High
Bailey Crossroads,215,High
Bailey Springs,216,High
Baileys Landing,217,High
Baileyton,218,High
Baileytown,219,High
Baker Hill,220,High
Bald Hill,221,High
Baldwin,222,High
Balkum,223,High
Ball Flat,224,High
Ballfield Landing,225,High
Ballplay,226,High
Baltic,227,High
Baltimore Hill,228,High
Bama Dale,229,High
Bama Park,230,High
Bamford,231,High
Bangor,232,High
Bankhead,233,High
Banks,234,High
Bankston,235,High
Baptist Hill,236,High
Barachias,237,High
Barber,238,High
Barclay,239,High
Barefield Crossroads,240,High
Barfield,241,High
Barlow,242,High
Barlow Bend,243,High
Barlow Landing,244,High
Barnes,245,High
Barnesville,246,High
Barnett Chapel,247,High
Barnett Crossroads,248,High
Barney,249,High
Barneys Lower Landing,250,High
Barnisdale Forest,251,High
Barnwell,252,High
Barrett,253,High
Barrett Crossroads,254,High
Barry Village,255,High
Barrytown,256,High
Barton,257,High
Bartonville,258,High
Basham,259,High
Bashi,260,High
Basin,261,High
Bass,262,High
Bassetts Creek,263,High
Batchelor Subdivision,264,High
Batesville,265,High
Bath Springs,266,High
Battelle,267,High
Battens Crossroads,268,High
Battery Hill,269,High
Battleground,270,High
Battles Wharf,271,High
Baxters,272,High
Bay Minette,273,High
Bay Springs,274,High
Bay View,275,High
Bayleys Corner,276,High
Bayou La Batre,277,High
Bayside,278,High
Bazemore,279,High
Beacon,280,High
Beamon,281,High
Beans Crossroads,282,High
Beans Mill,283,High
Bear Creek,284,High
Beards Mill,285,High
Beasley,286,High
Beatrice,287,High
Beaty Crossroads,288,High
Beauregard,289,High
Beaver Town,290,High
Beaverton,291,High
Beck,292,High
Beda,293,High
Bedford,294,High
Beechwood Acres,295,High
Beechwood,296,High
Beehive,297,High
Bel Air,298,High
Bel Air Estates,299,High
Belchers,300,High
Belforest,301,High
Belgreen,302,High
Belk,303,High
Bell,304,High
Belknap,305,High
Bell Factory,306,High
Bell Mills,307,High
Bell Springs,308,High
Bell Station,309,High
Bell-Merrill,310,High
Bellamy,311,High
Belle Vista,312,High
Belle Ellen,313,High
Belle Haven,314,High
Belle Mina,315,High
Bellefontaine,316,High
Bellefonte,317,High
Bellemeade,318,High
Belleville,319,High
Bellevue,320,High
Bells Crossroads,321,High
Belltown,322,High
Bellview,323,High
Bellwood,324,High
Belmont,325,High
Beloit,326,High
Beltona,327,High
Belview Heights,328,High
Belwood,329,High
Bemiston,330,High
Benevola,331,High
Bendale,332,High
Benoit,333,High
Bent Tree,334,High
Bentley Hills,335,High
Bentleyville,336,High
Benton,337,High
Berkley,338,High
Berkley Hills,339,High
Berlin,340,High
Bermuda,341,High
Berney Points,342,High
Berneys,343,High
Berry,344,High
Berry Springs,345,High
Bertha,346,High
Berwick,347,High
Bessemer,348,High
Bessemer Gardens,349,High
Bessemer Homestead,350,High
Bessemer Junction,351,High
Bessie,352,High
Bessie Junction,353,High
Bethel,354,High
Bethel Grove,355,High
Bethlehem,356,High
Bethsaida,357,High
Betts Lower Landing,358,High
Beulah,359,High
Beulah Land,360,High
Bevelle,361,High
Beverly Station,362,High
Bexar,363,High
Bibb Mill,364,High
Biddle Crossroads,365,High
Bibbville,366,High
Big Cove,367,High
Big Creek,368,High
Big Oak,369,High
Big Ridge,370,High
Big Springs,371,High
Bigbee,372,High
Billingsley,373,High
Billy Goat Hill,374,High
Bingham,375,High
Binghamtown,376,High
Birdeye,377,High
Birdsong,378,High
Biscayne Highlands,379,High
Bishop,380,High
Black,381,High
Black Bottom,382,High
Black Creek,383,High
Black Diamond,384,High
Black Pond,385,High
Blackankle,386,High
Blackman,387,High
Blackburn,388,High
Blacksher,389,High
Blairs,390,High
Blake,391,High
Blakeley,392,High
Blalock,393,High
Blanche,394,High
Blands Landing,395,High
Bladon Springs,396,High
Blackwood,397,High
Bladon Springs Landing,398,High
Blanton,399,High
Bleecker,400,High
Blockton Junc,401,High
Blooming Grove,402,High
Blossburg,403,High
Bloucher Ford,404,High
Blount Landing,405,High
Blount Springs,406,High
Blountsville,407,High
Blow Gourd,408,High
